title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
Bharal Adventure,5,76,"    Parasailing & Paragliding   ,    Cultural Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Kathmandu Adventure Treks - Day Tour,5,102,    Hiking & Camping Tours     ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cloudbase Paragliding Nepal,5,103,    Parasailing & Paragliding     ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Adventure Club Treks and Expedition Mountain Flight,5,103,"    Hiking & Camping Tours   ,    Air Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Walk Mountain,5,144,"    Multi-day Tours   ,    Helicopter Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sherpa Brothers Treks and Expedition,5,84,"    Multi-day Tours   ,    Climbing Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Himalaya Trekking Team Pvt Ltd Private Day Tours,5,81,"    Cultural Tours   ,    Climbing Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sound Healing Nepal,5,64,    Lessons & Workshops     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Swotah Travel and Adventure,5,70,"    Multi-day Tours   ,    Cultural Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Life Dream Adventure Pvt Ltd Private Day Tours,5,96,"    Historical & Heritage Tours   ,    Private Tours     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nepal Alternative Treks & Expeditions Pvt Ltd,5,163,"    City Tours   ,    Sightseeing Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Mount Face Nepal Day Tours,5,81,"    City Tours   ,    Sightseeing Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Earth Nepal Travel & Trek Day Tours,5,85,"    City Tours   ,    Hiking & Camping Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Luxury Holiday Treks (P) Ltd,5,152,    City Tours     ,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sawar Meditation and Yoga Center,5,65,    Yoga & Pilates     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Zam Zam Trekking,5,69,"    City Tours   ,    Multi-day Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Outdoor Himalayan Treks - Private Day Tours,5,351,"    Hiking & Camping Tours   ,    Private Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Wonderland Treks (Utsav),5,67,"    Multi-day Tours   ,    Hiking & Camping Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Snowy Horizon Treks & Expedition,5,179,"    Hiking & Camping Tours   ,    Private Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AAA Treks & Expedition,5,63,"    Eco Tours   ,    Private Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Crystal Mountain Treks,5,58,"    Multi-day Tours   ,    Bike Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Himalayan Trip Nepal Private Day Tours,5,106,"    Walking Tours   ,    Hiking & Camping Tours     ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Transport Hub Nepal,5,62,    Taxis & Shuttles     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holiday Hiking Team,5,73,"    Hiking & Camping Tours   ,    Nature & Wildlife Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Global Adventure Trekking,5,124,    Hiking & Camping Tours     ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Adventure Himalaya Nepal,5,66,"    Cultural Tours   ,    Climbing Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Begnas Yoga & Retreat,5,64,    Yoga & Pilates     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Nepal Spa and Wellness pvtltd,5,127,    Spas     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Adventure Leaders Nepal,5,126,"    City Tours   ,    Cultural Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Nepal Hiking Trek,5,79,"    City Tours   ,    Helicopter Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Real Therapy & Beauty Point,5,144,    Spas     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Nepal Mountain Trekkers - Day Tours,5,117,"    Cultural Tours   ,    Helicopter Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Nepal Royal Tourism Holiday,5,72,    Boat Tours     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Life Door Treks & Expedition,5,66,"    Multi-day Tours   ,    Climbing Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spiritual Excursion Private Limited,5,68,"    City Tours   ,    Cultural Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Trek Nepal Himalayas,5,92,"    Multi-day Tours   ,    Day Trips     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Couch Adventure Nepal (CAN) - Kathmandu Branch,5,70,"    City Tours   ,    Walking Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GRG   s Adventure Kayaking - Day Tours,5,165,"    River Rafting & Tubing   ,    Adrenaline & Extreme Tours     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Step By Step Treks & Adventures PvtLtd,5,69,"    Cultural Tours   ,    Helicopter Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Three Jewels Adventures,5,72,"    Helicopter Tours   ,    Walking Tours     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Wildlife Adventure Tours,5,64,    Nature & Wildlife Tours     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Sky Treks and Expeditions,5,191,"    Multi-day Tours   ,    Cultural Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Magic Himalaya Treks,5,73,"    Cultural Tours   ,    Historical & Heritage Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Adventure Magic Treks & Expedition,5,190,    Hiking & Camping Tours     ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nectar Spa,4.5,137,    Spas     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Himalaya Heart Treks & Expeditions,5,202,"    Helicopter Tours   ,    Eco Tours     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Adventure Thirdpole Treks,5,142,"    City Tours   ,    Multi-day Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Asian Heritage Treks and Expeditions,5,246,    Eco Tours     ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Mount Fuji Adventure Pvt Ltd,5,87,"    Multi-day Tours   ,    Hiking & Camping Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Himalayan Trekkers,5,167,"    Cultural Tours   ,    Historical & Heritage Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Nepal Promote Treks and Expedition,5,59,"    Multi-day Tours   ,    Hiking & Camping Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Responsible Treks,5,65,"    Cultural Tours   ,    Eco Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Social Tourism Nepal,5,54,"    City Tours   ,    Multi-day Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Himalayan Single Track,5,162,    Private Tours     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Himalaya Seekers Treks & Expedition,5,58,"    City Tours   ,    Cultural Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Amazing Nepal Holidays,5,53,"    Multi-day Tours   ,    Hiking & Camping Tours     ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Malla Sisters Women Adventure Guides,5,69,    Eco Tours     ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Frolic Adventure Pvt Ltd,5,70,"    Historical & Heritage Tours   ,    Sightseeing Tours     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nepal Mother House,5,91,"    Adrenaline & Extreme Tours   ,    Private Tours     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Alpine Club Of Himalaya - Private Day Trip,5,250,    Private Tours     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Serene Himalaya Treks and Expedition Day Tours,5,74,"    Cultural Tours   ,    Historical & Heritage Tours     ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Nepal Footprint Holiday Treks - Day Tours,5,92,"    City Tours   ,    Cultural Tours     ",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
