destination_id,title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
2723,Nepal Snowfall Mountains Treks and Expeditions,4.771905697445972,0,"['Multi-day Tours', '4WD, ATV & Off-Road Tours']",True,False,False,False,False,False,False,False,False
2724,Typical Himalayan Treks & Expedition,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2725,Ocean to Sky Adventures,4.771905697445972,0,['Hiking & Camping Tours'],False,False,False,True,False,False,False,False,False
2726,Adventure Mountain Nest,4.771905697445972,0,"['Multi-day Tours', 'River Rafting & Tubing']",True,False,False,False,False,False,False,False,False
2727,Taiao Nepal Eco Treks,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2728,Jyotirlingeshwor,4.771905697445972,0,['Religious Sites'],True,True,False,False,False,False,False,False,True
2729,Heaven Hikers Adventure,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2730,Shahid Gate,4.771905697445972,0,"['Points of Interest & Landmarks', 'Monuments & Statues']",True,True,True,False,False,False,False,False,False
2731,Himalaya Safty Treks & Expedition,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2732,"ARTUDIO ""Centre for Visual Arts""",4.771905697445972,0,['Art Galleries'],True,True,False,False,False,False,False,False,True
2733,Standard Chartered Vehicle Service Pvt  Ltd,4.771905697445972,0,['Taxis & Shuttles'],False,False,False,False,False,False,False,False,False
2734,Happyharitrek & Expeditions,4.771905697445972,0,['Climbing Tours'],False,False,True,True,False,False,False,False,False
2735,Ganga Jamuna Adventure Treks & Expedition,4.771905697445972,0,"['Cultural Tours', 'Sightseeing Tours']",False,True,False,False,False,False,False,False,True
2736,Enjoy Nepal,4.771905697445972,0,"['Sightseeing Tours', 'Nature & Wildlife Tours']",False,True,True,True,False,False,False,False,False
2737,Express Himalaya Travel,4.771905697445972,0,['Parasailing & Paragliding'],False,False,False,True,False,False,False,False,False
2738,Body & Mind - A Healing Spa,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2739,Climbing Expedition,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2740,Poonhill Treks & Expedition PvtLtd,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2741,Rose Mountain Tours and Travels,4.771905697445972,0,"['Multi-day Tours', 'Sightseeing Tours']",True,False,False,False,False,False,False,False,False
2742,Himalayan Pilgrimage Journey,4.771905697445972,0,['Sightseeing Tours'],False,True,True,True,False,False,False,False,False
2743,Fresh Liquorland,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2744,Nepal Gandharba Chuli Trek Pvt Ltd,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2745,Chulu Far East Peak,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2746,Makalu Barun National Park,4.771905697445972,0,['National Parks'],False,False,True,False,False,False,False,False,False
2747,Tibetan Village Tour and Lifestyle,4.771905697445972,0,['Sightseeing Tours'],False,True,True,True,False,False,False,False,False
2748,Yogadham,4.771905697445972,0,"['Yoga & Pilates', 'Lessons & Workshops']",False,False,False,False,False,True,False,False,False
2749,Himalayan Treks,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2750,Mystical Nepal Treks,4.771905697445972,0,['Hiking & Camping Tours'],False,False,False,True,False,False,False,False,False
2751,Simsime Travels & Tours,4.771905697445972,0,"['Multi-day Tours', 'River Rafting & Tubing']",True,False,False,False,False,False,False,False,False
2752,Lalman Trek and Expedition,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2753,Meraki Adventure,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2754,Book Paradise,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2755,FCube Cinemas,4.771905697445972,0,['Movie Theaters'],False,True,False,False,True,False,False,False,False
2756,Trip Himalaya Treks & Expedition (P) LTD,4.771905697445972,0,"['Multi-day Tours', 'Canyoning & Rappelling Tours']",True,False,False,False,False,False,False,False,False
2757,Travel Devisers,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2758,Destination Everest,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2759,Krishna International Travels and Tours,4.771905697445972,0,"['Multi-day Tours', 'River Rafting & Tubing']",True,False,False,False,False,False,False,False,False
2760,Ganesh Himal Trekkings & Tours PL,4.771905697445972,0,"['Cultural Tours', 'Helicopter Tours']",False,True,False,False,False,False,False,False,True
2761,Four Himalayan Magic,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2762,Tourism Society,4.771905697445972,0,"['Multi-day Tours', 'Historical & Heritage Tours']",True,False,False,False,False,False,False,False,False
